id,title,level
m425,緋色月下、狂咲ノ絶 (nayuta 2017 ver),18.6
m426,WARNING×WARNING×WARNING,18.2
m427,ホイホイ☆幻想ホロイズム,18.1
m428,スカーレット警察のゲットーパトロール24時,18.4
m429,天弓天華オトハナビ,18.1
m430,マツヨイナイトバグ,18.1
m431,無意識レクイエム (cosmobsp rmx),19.1
m432,限界突破リザレクション,18.1
m433,弾幕信仰,18.3
m434,閉塞的フレーション,18.1
m435,Lost Gear Syndrome,18.1
m436,幻想プロミネンス,18.2
m437,Misfortune Crawler,18.4
m438,東風に鳴き翠嵐を想う,18.5
m439,FLOOD_FLOOR,18.3
m440,R.I.P.ゴシップの海,18.2
m441,メズマライザー,18.2
m442,テレパシ,18.2
m443,What's up? Pop!,19.4
m444,覚悟せよ！エンタンメ～ン ～より身の切り売り自暴自棄版～,18.0
m445,悲報！ワイ！ニート！,18.2
m446,エクスプロウル,18.5
m447,EMERALDAS (Yuta Imai Remix),18.0
m448,#EmoCloche,18.1
m449,onslaught -Retaliation of Bahamūt-,19.5
m450,Scars of FAUNA(ろひ Remix),18.0
m451,POSSESSION (Aoi Q.E.D. RMX),18.6
m452,Elemental Creation -xiRemix-,18.5
m453,nostos -ark remix-,18.0
m454,Macuilxochitl (Latin Jazz Mix),18.7
m455,EGOISM 440 (Ange;art remix),18.4
m456,ばらんが!!!!,18.6
m457,Innocent Azure,18.0
m458,Souhait bleu,18.4
m459,ラヴ♡チャンス!!,18.3
m460,Vanishing Eidos,18.5
m461,SuperMiracleEnsemble,18.7
m462,Metagame Matador,18.1
m463,りむむむむむむ,18.2
m464,恋愛♡悪戯！？まじかる☆ぱふゅ～む！！,18.0
m465,#Namescapes,18.4
m466,FEEL THE FORCE,18.2
m467,Cappuccino Hearts,18.2
m468,Vallasotiena,18.1
m469,G4ME ØVEЯ,18.2
m470,Restless Waitress,18.1
m471,End of Guilty,18.6
m472,The King Of Red,18.6
m473,The Clown of 24stairs,19.7
m474,まみむめ🍄まるっと🍄まっしゅるーむ🍄🍄,18.1
m475,XXanadu#climaXX,18.4
m476,Bigbang Faker,18.0
m477,Archangelio,18.6
m478,Going My Future!,18.3
m479,Unleashed Redness,18.6
m480,party:stage,18.3
m481,Rapsodia d'amore,19.4
m482,紫焔双穿,19.4
m483,Decadence Mission,18.0
m484,爆烈歓迎♪エクストリーム飲茶旋風脚ッ!!,18.4
m485,FAR GONE,18.6
m486,Holy Trail,19.3
m487,Memory Flow,18.2
m488,€omet popcorn,18.0
m489,PSYCHO+HEROES,18.3
m490,Hurt me plenty,18.2
m491,Your SOUL Is Mine,18.3
m492,Corrupting Wonderland,18.0
m493,二分間の世界,18.4
m494,ROZELCIA,18.4
m495,Across the Starlight,18.5
m496,Twinkle Rookie,18.2
m497,NOT YOUR IDOL,18.5
m498,PHOTON BLAXT,18.4
m499,涙の女神と無形のエトワル,18.7
m500,夢幻泡影,18.7
m501,Imperator,18.5
m502,ØƵ,18.6
m503,SHARK ATTACK,18.4
m504,神罰,18.8
m505,Never Ending Future,18.4
m506,Hydroblast,18.5
m507,CadenzaMaiden,18.6
m508,天穹のアルカナビット,18.4
m509,Juωpscare!!,18.1
m510,D.I.X.,18.7
m511,ハッピーエンド,18.5
m512,Zero-Day Exploit(One-Day Fusion Mix),18.5
m513,Distorted Floor -Boosted-,18.0
m514,劇場版ムーニャポヨポヨスッポコニャーゴ~侵略だいず帝国！ドラマティック宇宙大戦争~,18.5
m515,The EXworld of sound,18.2
m516,Absurd Gaff (Metallize Remix),19.4
m517,うぇるかむ -||祭みっくす||-,18.6
m518,Voice 7 Voice!!!!!!!,18.7
m519,ませまてぃっく♡ま＋ま＝まじっく！ ～徹夜の追込みエナジーまっくす！～,18.0
m520,Sayonara Planet Wars (Sot-C Remix),18.6
m521,ドリームエンド・サバイバー(Hidra-Xjeil Remix),18.2
m522,Appliqué(Vocal Remix),18.3
m523,Max Burning!!(GαineN Beyond yΩu Remix),18.5
m524,Scarlet Pinheel -appassionato-,18.4
m525,ミュージックプレイヤー （J-pop Remix）,18.4
m526,GIGI BABA(brz_style),18.1
m527,"PANIC HOLIC (かめりあ's ""24600 POWER"" Remix)",18.4
m528,C18H27NO3(ryhki remix),18.2
m529,Crack Traxxxx (108x3 BPM Remix),18.6
m530,大宇宙ステージ奈落変,18.6
m531,caramel ribbon (Tatsunoshin Remix),18.3
m532,XROSS INFECTION -xiRemix-,19.4
m533,The world of sound -celestial mix-,18.7
m534,Dynasty -dal segno-,18.2
m535,King's Gambit,18.2
m536,七七七夕,18.3
m537,HEAVEN KNOWS,18.6
m538,アイの雫,18.5
m539,Almandite,18.6
m540,We Are GamerZ!,18.3
m541,∞vitUniverse,18.3
m542,ハートビート×スラッガー,18.1
m543,FLAVOR-G,18.3
m544,Sunlit toybox,18.3
m545,マジかる☆doll ユタニケちゃん,18.2
m546,BEMANI PRO LEAGUE -SEASON 2- SOUND VOLTEX ULTIMATE MEDLEY,19.0
m547,WINNING ROAD,18.8
m548,Chat perché,18.4
m549,ENDGAME,18.7
m550,ИADIR,18.4
m551,Ice Fortress,18.7
m552,MURASAME,18.8
m553,Initiating League,18.6
m554,Scat Jazz Dance,18.8
m555,最果ての勇者にラブソングを,18.6
m556,灼ナル刃、破カヰ譜,18.4
m557,Petit espoir,18.4
m558,Fl0ating:,18.6
m559,イグノアザーズ,18.6
m560,Paradigm Shift,18.6
m561,Thousand Triggers,18.7
m562,trea→journey,18.9
m563,MILITARY R04D,19.5
m564,DEUX EX MĀXHINĀ,19.6
m565,All We Need is HAPPY END!!!,19.4
m566,Glory of Fighters,19.7
m567,We Are All The Dreamer,18.2
m568,Double or Nothing,18.5
m569,群青纏う朱の槍,18.5
m570,CHOVERY GOOSE!!!,18.5
m571,トリコエリヌム▽コンチェルト,18.7
m572,V!LLA!N,18.3
m573,ON THE WORLD,18.7
m574,TOYBOX CANNØN=͟͟͞ Σ≡=｡ﾟ:*.:+｡.☆,18.4
m575,イグジスター,18.6
m576,花火のおもちゃ箱,18.8
m577,La Nostra Storia!,18.5
m578,グリーディ・スターズ！,18.4
m579,Di-Da-De-Doo,18.4
m580,Break Through Δpex,18.6
m581,Ars Magna,18.5
m582,Inevitable Magic,18.1
m583,LOVE TONIC,18.5
m584,異次元の孤独～カナタノキミヘ～,18.6
m585,Crawl Out Immortal,18.3
m586,SΛMVICΛ,18.6
m587,MΔX FLAVØR,18.7
m588,Divine Ether,18.5
m589,#Evil_Signs_of_Bloodlines,18.5
m590,Blessed Horizon,18.6
m591,双星の冒険録,18.6
m592,赫焉のヴァルキュリア -Ragnarøk-,19.3
m593,Garland,18.4
m594,SuddeИDeath,20.9
m595,S(TAR)²☆pistol,18.2
m596,Brave Power Leader 《 = Voltage = 》,18.2
m597,HALO,19.2
m598,零天視,18.5
m599,Cuz we <3 this Game,19.7
m600,Xeno Gravity,19.9
m601,NEMSYS ARENA World Hexathlon,20.7
m602,ARISE,19.2
m603,Allegro Saetta,19.2
m604,{ eXLIPXe },20.8
m605,ウイジン,18.4
m606,Ex concordia felicitas,18.3
m607,StellarflightS,18.2
m608,Knew Order,18.3
m609,NO SURRENDER,18.4
m610,EncorE & cALL,19.4
m611,Wings to fly high,18.5
m612,AIM HIGHER,18.4
m613,All for One,18.8
m614,AμreoLe ~for Triumph~,19.5
m615,XHRONOXAPSULΞ,20.6
m616,ZEUS,19.5
m617,蝕,18.7
m618,十の試煉,19.4
m619,Xb10r,19.7
m620,火狐之舞,18.5
m621,MixxioN,20.6
m622,Rhapsody ⚙︎f Triumph,19.4
m623,refluxio,18.8
m624,Λkasha,20.4
m625,#ERROR!,18.8
m626,OVEЯ+TUЯE,19.4
m627,随神,18.5
m628,TOKAKU=ALMiRAJ,18.6
m629,Burst Λnd reBoost,19.4
m630,レインボウ・フレーバー,18.3
m631,Imitated Visions,18.7
m632,こどもかくしのアンダーランド,18.5
m633,憧憬のファンファーレ,18.5
m634,Xinca,19.2
m635,JACK -the KING Ki11ing-,19.3
m636,すべてを賭して,18.9
m637,Don't you dare play GOD,20.3
m638,XΛLT=ØVER,19.4
m639,Entropic EnĤαncemEnt,19.5
m640,SAD1STIC Я04D,19.3
m641,Sweetie Beauti Magic,18.6
m642,Two of Wonder Lights,18.4
m643,トキノコエト,18.2
m644,ΛNXIENT:LEGΛXIEZ,18.7
m645,ØverwriteTheCatastrophe,18.5
m646,Cumulonimbus,18.5
m647,Kool Awesome Croon,18.3
m648,一水山風,18.3
m649,Superstar!,19.5
m650,永久の粒虹,18.8
m651,Lunatic Mare,18.2
m652,ぼくらのはじまりのおと,18.7
m653,MiRÀi,18.4
m654,Line markeR,18.6
m655,reSTART yOUR STORIES,18.3
m656,Star☆Beat,18.1
m657,Red＋White＝Kawaii,18.3
m658,～仔羊のナヴァラン・クリシェを添えて～,18.5
m659,Refrain,18.6
m660,c2Theater,18.3
m661,SHOCKER BREAKER,18.4
m662,"ピアノ独奏無言歌 ""灰燼""",19.9
m663,アガット,18.5
m664,Welcome to the Mosh Pit,18.2
m665,少年リップルズ,18.5
m666,quaver♪,18.2
m667,リリーゼと炎龍レーヴァテイン,18.3
m668,Shera,18.0
m669,birth,18.4
m670,Prayer,18.2
m671,Amazing Mirage,18.3
m672,KAMAITACHI,18.4
m673,Please Welcome Mr.C,18.5
m674,One More Lovely,19.3
m675,waxing and wanding,18.1
m676,Caldwell 99,18.3
m677,シュレーディンガーの猫,19.5
m678,Timepiece phase Ⅱ,19.4
m679,カジノファイヤーことみちゃん,18.0
m680,カジノファイヤーことみちゃん,18.4
m681,ユメブキ,18.0
m682,STEEL NEEDLE,18.2
m683,Triple Cross,18.1
m684,CLAMARE,19.1
m685,Crystalia,18.2
m686,SPECIAL SUMMER CAMPAIGN!,18.1
m687,[ ]DENTITY,19.7
m688,VOLAQUAS,19.3
m689,Snowmelt,18.5
m690,perditus†paradisus,19.6
m691,White Stream,18.5
m692,パーフェクトイーター,18.5
m693,累乗のカルマ,18.3
m694,QQ,19.2
m695,Stylus,18.4
m696,ARACHNE,18.5
m697,Crazy Jackpot,18.1
m698,Poochie,18.4
m699,SCHWARZSCHILD FIELD,18.5
m700,Towards The Horizon,18.3
m701,ビューティフル レシート,18.3
m702,天泣,19.3
m703,OROCHI STRIKE,18.5
m704,Blφφdy Cφncertφ,18.5
m705,REINCARNATION,19.3
m706,Lichtsäule,19.5
m707,Re:RHYZE,18.3
m708,EYE OF THE HEAVEN,19.3
m709,Electronic Sports Complex,19.0
m710,EROICA,19.7
m711,Snow Garland Fairy,18.3
m712,ディスコルディア,19.7
m713,Verflucht,18.9
m714,2 Beasts Unchained,19.4
m715,"ピアノ協奏曲第１番""蠍火""",19.8
m716,Fegrix,18.5
m717,儚キ戀ノ幻想譚,18.3
m718,禊,18.6
m719,恋愛=精度×認識力,19.6
m720,suspicions,18.8
m721,THE PEERLESS UNDER HEAVEN,18.4
m722,stellar rain,18.4
m723,Ambivalent Vermilia,19.2
m724,Deep tenDon Reflex,18.3
m725,Come to Life,18.0
m726,COSMIC V3LOCITY,19.4
m727,SOLAR ECLIPSE,19.1
m728,ちくわパフェだよ☆ＣＫＰ (Yvya Remix),18.5
m729,めうめうぺったんたん！！ (ZAQUVA Remix),18.5
m730,VALKYRIE ASSAULT,19.2
m731,ドゥサンコオデッセイ!!,19.5
m732,αzalea,19.2
m733,BAYONEX,19.6
m734,Puni Puni Parade,18.1
m735,Reverenced Flower,19.6
m736,《Re:miniscence》,20.6
m737,ゔぉるみっくす!!!!,18.7
m738,Test Flight,18.5
m739,Perfect Ultimate Celebration!!,18.3
m740,Kontrol Line,18.5
m741,Avalanx,19.2
m742,極夜、暁を望んで,18.4
m743,Grandeur,18.4
m744,Stairway to the sun,18.3
m745,すべてが幻になった後で,19.8
m746,LaμreLs ~the Angelus~,19.4
m747,いまきみに,20.3
m748,赫焉,19.7
m749,光風霽月,18.8
m750,STIGMA,18.3
m751,VΛZiLiSQ,19.1
m752,Fαtα∠ Ent∠mEnt,19.4
m753,Lost Parliament,18.3
m754,Revvable Engine,18.3
m755,You Are My Best RivaL!!,20.5
m756,graduation,18.6
m757,Tickled Pink,18.3
m758,APØCALYPSE RAY,20.3
m759,ΣMERGENCY CODΣ,18.3
m760,Spectacular“V”Adventure!,19.6
m761,BLISS,18.6
m762,Breakneck Pursuit,19.2
m763,Marielle,18.3
m764,忘れないように、失くさないように,18.8
m765,Undead Raving Scare,19.7
m766,and After the Merry BADEND,19.5
m767,Enter The Rave,18.5
m768,SHARK IMPACT,18.3
m769,十三不塔,18.4
m770,HeaveИ's Rain,20.6
m771,リュミレイラ,18.4
m772,ヴァルプルギスの夜,18.5
m773,Guinevere～白き妖精～,19.7
m774,細氷,19.3
m775,X1GNUS,18.6
m776,Never Forget Evergreen,18.2
m777,Nebula Dysorder,19.9
m778,For All The Challengers,18.3
m779,Little Red Riding Hood,18.6
m780,while (screen is blue),19.7
m781,Ardenok,19.4
m782,Our garden is blue.,20.6
m783,Golden Rotation,18.5
m784,Jupiter,18.4
m785,Titanomachia,19.3
m786,流転に咲く魂の花,18.7
